,0
0,-41.49009501548046
1,-43.042893233770485
2,-44.4365123471281
3,-45.66852206866707
4,-46.7373819790616
5,-47.64242693579347
6,-48.383846150497824
7,-48.962656394782606
8,-49.38066983908747
9,-49.640457064150205
10,-49.7453058106265
11,-49.699176049719874
12,-49.50665196681537
13,-49.17289145163945
14,-48.70357368297691
15,-48.10484538403303
16,-47.383266306685165
17,-46.54575447965387
18,-45.59953172755999
19,-44.55206993543197
20,-43.411038496999716
21,-42.18425334558683
22,-40.879627924161746
23,-39.50512640675106
24,-38.06871943763043
25,-36.578342608199826
26,-35.04185784495181
27,-33.46701783617322
28,-31.861433580656325
29,-30.232545099308506
30,-28.587595310575146
31,-26.933607033307453
32,-25.27736304627263
33,-23.62538910201138
34,-21.983939764303923
35,-20.358986913284046
36,-18.756210740500045
37,-17.180993038286783
38,-15.638412574019307
39,-14.133242330435085
40,-12.669948388365976
41,-11.252690227837581
42,-9.885322227277213
43,-8.571396148037007
44,-7.314164401985866
45,-6.116583912941402
46,-4.981320397677871
47,-3.91075290879011
48,-2.9069784996167245
49,-1.9718168906575206
50,-1.1068150374422834
51,-0.31325152156296393
52,0.40785929061413917
53,1.0557633535492388
54,1.629963320806966
55,2.130215181280041
56,2.5565251167615775
57,2.9091465242473182
58,3.1885771286437015
59,3.3955560964976628
60,3.531061049183777
61,3.596304864881048
62,3.592732152839833
63,3.5220152810660967
64,3.386049839778802
65,3.1869494278787784
66,2.9270396581288245
67,2.6088512885677866
68,2.23511240250806
69,1.8087395768103627
70,1.3328279974040367
71,0.8106405015787258
72,0.24559554775617556
73,-0.3587458653760432
74,-0.998694287928736
75,-1.6704468542737851
76,-2.370103185511802
77,-3.0936820642408787
78,-3.8371387743035994
79,-4.596382988482579
80,-5.367297080301774
81,-6.145754731914636
82,-6.927639708081907
83,-7.708864665935044
84,-8.48538987106997
85,-9.253241692091164
86,-10.008530747727228
87,-10.747469582901903
88,-11.466389752623632
89,-12.1617581952997
90,-12.830192780211746
91,-13.46847691759901
92,-14.073573124323678
93,-14.64263544368859
94,-15.173020624854635
95,-15.662297975607132
96,-16.108257812018923
97,-16.508918439870328
98,-16.862531615492294
99,-17.16758644794208
100,-17.422811719995465
101,-17.627176622175334
102,-17.779889911678413
103,-17.88039752624538
104,-17.928378701251987
105,-17.92374065597418
106,-17.866611931444787
107,-17.757334476975654
108,-17.596454594820305
109,-17.384712862354508
110,-17.12303315850417
111,-16.812510926047512
112,-16.454400804041967
113,-16.050103765183305
114,-15.601153891588936
115,-15.109204919467146
116,-14.576016678502704
117,-14.003441545634352
118,-13.393411025283267
119,-12.747922559090561
120,-12.06902665795327
121,-11.358814437782424
122,-10.619405628168332
123,-9.852937110298758
124,-9.061552027342897
125,-8.247389497416256
126,-7.412574946514255
127,-6.5592110667808985
128,-5.6893693944936965
129,-4.805082492510143
130,-3.908336713907467
131,-3.0010655173617087
132,-2.085143300570545
133,-1.1623797157413178
134,-0.2345144307568864
135,0.6967876990708367
136,1.6299410809713157
137,2.5634434847122156
138,3.495879815930052
139,4.425925580333695
140,5.352350049933711
141,6.27401913552581
142,7.189897962185112
143,8.099053136425876
144,9.000654684833096
145,9.893977634298572
146,10.778403193525024
147,11.65341948439139
148,12.518621760476732
149,13.373712039057008
150,14.218498062865775
151,15.052891499537049
152,15.876905280597718
153,16.69064997875156
154,17.494329122489315
155,18.288233351119242
156,19.072733321329927
157,19.84827128841261
158,20.615351301197425
159,21.374527969405854
160,22.126393785206286
161,22.871565006911542
162,23.610666141538054
163,24.3443130938623
164,25.073095082120133
165,25.797555453995443
166,26.518171570343767
167,27.235333957398634
168,27.94932496012321
169,28.660297158948605
170,29.368251838426563
171,30.073017818413867
172,30.774230975503702
173,31.4713147938974
174,32.16346229033981
175,32.849619656895854
176,33.528471958175174
177,34.19843120621965
178,34.857627116893745
179,35.50390082662859
180,36.13480181825619
