,feat_nn20,feat_nn50,feat_rmssd,feat_nnhr,feat_sdsd,feat_pnn50,feat_pnn20,peak vlf,peak lf,peak hf,norm power lf,norm power hf,power ratio,total power
S201,8.0,5.0,0.23011656464936658,82.17038779437051,174.3368999874978,0.4166666666666667,0.6666666666666666,0.0390625,0.1259765625,0.150390625,58.79469181812502,41.20530818187499,1.4268717893969565,1482.7744249226537
S211,8.0,2.0,0.1624771259577275,80.34901810571007,120.34119706308029,0.16666666666666666,0.6666666666666666,0.0390625,0.1494140625,0.2587890625,10.963005482088656,89.03699451791134,0.12312865614397235,383.3487261697972
S221,7.0,4.0,0.07425275096192677,74.01038867381527,59.81416800288659,0.36363636363636365,0.6363636363636364,0.0390625,0.1494140625,0.2216796875,20.10061551609999,79.8993844839,0.2515740971715537,606.3336874425673
S301,6.0,4.0,0.06349554944553859,51.04780993237485,74.73735770283508,0.5,0.75,0.0009765625,0.0400390625,0.3720703125,19.09595518850867,80.90404481149133,0.23603214441259115,765.8223600098889
S311,5.0,4.0,0.11309337685918386,50.169851560514175,135.69142050746495,0.5,0.625,0.0009765625,0.0400390625,0.3681640625,24.660424968713183,75.33957503128681,0.3273236537168184,627.1942315687877
S321,7.0,6.0,0.22931272697694624,58.30078450114969,235.28525620130642,0.6666666666666666,0.7777777777777778,0.0390625,0.1494140625,0.31640625,10.376671579180535,89.62332842081948,0.1157809217981469,3207.3954166683093
S401,7.0,6.0,0.2450349513794869,60.60980750358426,246.13951732664927,0.6666666666666666,0.7777777777777778,0.0390625,0.138671875,0.150390625,47.42858918941746,52.57141081058253,0.9021745556782769,1076.800676664151
S411,9.0,4.0,0.25365293140265516,72.41357466054983,223.33993289061155,0.4,0.9,0.0390625,0.1005859375,0.150390625,49.440407288676056,50.55959271132395,0.9778640340511043,2945.6704094111797
S421,8.0,4.0,0.08650408308570474,70.78862312986854,66.97181862392499,0.36363636363636365,0.7272727272727273,0.0390625,0.1435546875,0.150390625,28.31189101072443,71.68810898927558,0.3949314804071599,675.5672030372868
S501,5.0,2.0,0.050818584354660926,62.75837363477896,43.48938411396825,0.2222222222222222,0.5555555555555556,0.0390625,0.1494140625,0.1669921875,31.301053243622185,68.69894675637781,0.45562639198273125,743.8463301786093
S511,8.0,4.0,0.18704591263107875,66.26851350606641,168.32912367606224,0.4,0.8,0.0390625,0.0966796875,0.150390625,50.12055210795156,49.87944789204843,1.0048337386657715,378.23158070731904
S521,6.0,4.0,0.2937717145950583,68.15706365164111,275.0498563340612,0.4444444444444444,0.6666666666666666,0.0009765625,0.0400390625,0.3857421875,30.552091259583467,69.44790874041654,0.4399281679421268,382.2680370711696
S601,6.0,2.0,0.04455121993936588,67.41069070765073,39.7269592659317,0.2,0.6,0.0390625,0.1494140625,0.1669921875,38.026264479394136,61.97373552060587,0.6135867744611045,601.9460186064558
S611,5.0,3.0,0.20198261169053833,85.9535686508764,154.1804535111307,0.2727272727272727,0.45454545454545453,0.0390625,0.0537109375,0.150390625,69.50508189157956,30.49491810842044,2.279234908730167,2891.175845909182
S621,7.0,3.0,0.23093833135384295,76.5451869982723,191.81857925378029,0.2727272727272727,0.6363636363636364,0.0390625,0.05859375,0.150390625,74.93292252934441,25.067077470655597,2.9892963237163777,1083.6374836771279
S701,12.0,8.0,0.17084081957954245,86.36685137632435,121.93097513926747,0.6153846153846154,0.9230769230769231,0.0390625,0.11328125,0.150390625,43.492143035927434,56.507856964072566,0.7696654124324611,2195.6886890362093
S711,8.0,5.0,0.06931956998072161,76.44191567234668,54.01660757968109,0.4166666666666667,0.6666666666666666,0.0390625,0.12109375,0.3994140625,36.772979799233084,63.22702020076692,0.5816022909583052,487.1031967097393
S721,10.0,6.0,0.07719102806228272,85.66120255553611,53.634750935717626,0.46153846153846156,0.7692307692307693,0.0390625,0.1455078125,0.150390625,44.287505112131086,55.71249488786891,0.794929489359028,404.6615480447092
S801,10.0,7.0,0.21350465882737282,77.77716159295139,169.25623613145765,0.6363636363636364,0.9090909090909091,0.0009765625,0.0400390625,0.150390625,54.18200179420609,45.81799820579392,1.1825484289131272,819.4871873939048
