,HR_mean,HR_min,HR_max,HR_std,SDNN,SDANN,RMSSD,SDSD,pNN50,pNN20,abs_power_VLF,abs_power_LF,abs_power_HF,tot_power,LF/HF,peak_vlf,peak_lf,peak_hf,norm_power_LF,norm_power_HF,scr_mean,scr_std,scr_max,scr_min,scr_range,scr_kurtosis,scr_skew,scr_momentum,scr_activity,scr_complexity,scr_mobility,scr_rms,scr_acr_length,scr_integral,scr_average_power,scr_f1sc,scr_f2sc,scr_f3sc,scr_Energy,scr_Entropy,scr_max_freq,scl_mean,scl_std,scl_max,scl_min,scl_range,scl_kurtosis,scl_skew,scl_momentum
S210,74.3360692302027,64.02439024390243,83.00395256916995,5.569528528159194,0.07627810385580532,0.0,0.07046172260406777,57.19312657665706,0.4827586206896552,0.6896551724137931,42.78818704391623,950.4730909399476,419.7857425742611,1413.047020558125,2.264186213451036,0.0390625,0.1220703125,0.150390625,69.36449287484866,30.635507125151346,0.0008595326352631785,0.003196393062807831,0.018177799498689303,-0.005829035722952226,0.02400683522164153,4.705092828296975,1.9381946096911633,1.0216928611966028e-05,1.0216928611966028e-05,45.04611298228516,0.01209204760348396,0.0033099433474077004,20639.0000245217,41.61900465803625,1.0955724963048492e-05,0.002810469786322027,0.0027078213841623434,0.003088319724923624,0.23070725830764877,-5.663653637688972,-0.15234375,1.547572883344366,0.008389603532275795,1.558566501877781,1.5362608238881679,0.022305677989613137,-1.6096731366773454,-0.03816656985098022,7.03854474287745e-05
S211,72.7374514933743,62.6865671641791,88.60759493670886,6.1158060914347,0.08099315727122987,0.0,0.06691184845691789,55.51290880135746,0.39285714285714285,0.6428571428571429,49.88675455151426,683.6721394578477,532.120983657767,1265.679877667129,1.2848058250932473,0.0146484375,0.1416015625,0.150390625,56.232604582090104,43.76739541790988,-0.0005360036377889468,0.002144809161885688,0.011096232222659024,-0.00637681722616088,0.017473049448819902,0.6180712527745515,0.19372510618152336,4.600206340908788e-06,4.600206340908788e-06,25.582393391220204,0.026645066303258975,0.002210770508359421,20694.000065184264,33.89340156876408,4.887506240631772e-06,0.002629819298051436,0.0029084451780615863,0.000893994826804682,0.07576242411503298,-3.360040146616912,-0.15625,2.38124584756722,0.03252871105997682,2.4423175527018235,2.340512324971081,0.10180522773074241,-1.2439968030865245,0.3182291577847378,0.001058117043223458
S212,74.56421716126678,65.015479876161,86.77685950413223,5.54698326973643,0.0756081632563699,0.0,0.06136554012891462,49.592151674484796,0.3103448275862069,0.6551724137931034,274.85151411551675,889.3294857348266,307.99869770571945,1472.1796975560628,2.887445604021825,0.0390625,0.05859375,0.150390625,74.27616738957241,25.72383261042759,0.00017815358622481003,0.002855979495344104,0.013512003104841143,-0.007961765938027892,0.021473769042869035,2.348249515287968,0.8034181492351826,8.156618877825964e-06,8.156618877825964e-06,6.044441470942323,0.01198849619167752,0.002861530635535941,20256.000011985634,40.839957726344615,8.188357578110725e-06,0.001768001570045228,0.004894758871219414,0.011997029168660658,0.090993972189771,-9.720658760971883,-0.20703125,1.1507775881420317,0.004084782320736911,1.1585671389568502,1.1467908339115909,0.011776305045259283,-1.182797691456629,0.5789900268426373,1.668544660780483e-05
S213,72.24878653102512,59.74395448079659,88.60759493670886,6.570921372798238,0.08900266897795772,0.0,0.0717529547957667,59.68211752636908,0.42857142857142855,0.6785714285714286,9.987080522441477,771.2625115020913,612.7631621014466,1394.0127541259794,1.2586633126852431,0.0390625,0.1435546875,0.150390625,55.72602634559392,44.27397365440607,-5.890508846868089e-05,0.002305482942135557,0.007066486022095133,-0.005739039749040801,0.012805525771135935,0.31733226564863504,0.5208007601429444,5.315251596478023e-06,5.315251596478023e-06,41.97216992576037,0.015185459276082187,0.0023062353318613273,20460.000022726228,35.13969717490336,5.318721405925527e-06,0.0031744020772011368,0.0025864152992557485,0.001163645272875473,0.007924049888119476,-2.9282346380102164,-0.14453125,2.3782220245834167,0.0313020580817497,2.433159354116651,2.338179034464219,0.09498031965243214,-1.3394608893046647,0.23751811901846845,0.0009798188401532316
S214,69.8925920155161,62.40713224368499,88.42105263157895,5.197704353625034,0.06824798488633944,0.0,0.06000852673839649,51.3583578007303,0.42857142857142855,0.6785714285714286,32.14613561172977,169.2176071423241,217.80322633786014,419.166969091914,0.7769288361221557,0.0390625,0.1494140625,0.17578125,43.72312612235336,56.27687387764665,0.0005128438905188838,0.002127311058183037,0.010374708399857971,-0.003753679888176247,0.014128388288034218,2.938186360715923,1.5274575755774331,4.5254523382678325e-06,4.5254523382678325e-06,42.93977718595812,0.01212031202380912,0.0021882552854524027,20681.000010586962,28.773101410467742,4.788461194310377e-06,0.0015528003223299126,0.003198533521788126,0.00073907908674911,0.011249012346803897,-3.51526567814152,-0.15625,1.4304432235275113,0.006055586604938056,1.4381047151405018,1.4218681352444242,0.01623657989607752,-1.5759816504781579,-0.11782437955919917,3.6670129129905214e-05
S220,72.72172352711746,61.1353711790393,85.02024291497976,5.72476860608005,0.08135109359711686,0.0,0.05754136941327732,47.31993063121566,0.25,0.6428571428571429,120.45741040962189,769.2354479559714,701.2893343344653,1590.9821927000585,1.0968874190650397,0.0390625,0.064453125,0.150390625,52.3102675466535,47.689732453346494,0.00012413977646101243,0.03415675577723518,0.12094698603742916,-0.0661004243097714,0.18704741034720057,2.8261192061542353,1.3936437607971697,0.0011666839652256888,0.0011666839652256888,4.707826721535172,0.001618337199367936,0.03415698136413387,16111.000024630495,362.4338725474563,0.0011666993759097885,0.0006010503363052459,0.0008219690817712903,0.000590246888956642,2.842868697245114,-2.033606970822816,0.0,1.5097660445522476,0.023022037792701577,1.5302052842970217,1.4481794924457756,0.08202579185124614,0.7341724075510698,-1.4582597161179944,0.0005300142241285797
S221,74.85808532164452,66.45569620253166,84.50704225352113,4.392202022103265,0.05780950403904281,0.0,0.05174883723706,41.593860858108755,0.26666666666666666,0.5333333333333333,5.702401352912554,387.87492518286865,333.27748233420255,726.8548088699838,1.1638197770406735,0.0390625,0.1201171875,0.150390625,53.785430255765576,46.21456974423443,0.006494062388599857,0.07029044969258151,0.12248159047887476,-0.09101009729655637,0.21349168777543115,-1.3185544225445605,0.20583176707138057,0.004940747317985332,0.004940747317985332,3.7130471340922857,0.0012409076370472325,0.07058980212674036,6999.000026728618,423.81012995221727,0.004982920164292358,1.291244808380828e-05,2.112556059445676e-05,8.906478735986992e-06,22.869013494199386,7.184923072411318,0.0,2.916913134093689,0.014871358370331251,2.941431375693927,2.88860791292918,0.05282346276474703,-0.860057466836845,-0.27644255798549927,0.00022115729977882138
S222,76.91980195860215,71.30730050933786,84.50704225352113,3.315626506324167,0.0428830362552036,0.0,0.039323058261139646,30.723360343240948,0.06666666666666667,0.5666666666666667,17.509889806893117,278.30407956417025,265.05139798183416,560.8653673528975,1.0500004213644796,0.0390625,0.1064453125,0.265625,51.21952222163933,48.78047777836067,0.0010200284277490604,0.02922381457270198,0.07082944472392394,-0.08313064802634071,0.15396009275026465,1.4311825169772527,0.009920228426539899,0.0008540313381796686,0.0008540313381796686,238.55975908164908,0.0018754537717741782,0.02924161069731086,18392.00003866984,362.665921363728,0.0008550717961730849,0.0013148434632955014,0.0015129332640188406,0.0059799510518755,2.134161292474581,-3.470869235688335,0.0,1.5099773565410968,0.034272249023184764,1.563064355133679,1.4761423884483473,0.08692196668533159,-1.5017015138545677,0.4851102253523062,0.001174587053107189
S223,75.84626672825641,66.56101426307448,92.9203539823009,6.799543518000742,0.08522215428103735,0.0,0.0487731371871539,38.76245080834925,0.1724137931034483,0.3103448275862069,321.0947947606824,1877.4544565666379,647.321256925501,2845.8705082528213,2.9003442054162463,0.0390625,0.08984375,0.150390625,74.36123717975092,25.638762820249077,-3.193918211057252e-05,0.037313387184577385,0.1308331169346072,-0.07639658466956911,0.2072297016041763,3.4508442847892313,1.4900105188262662,0.001392288863186184,0.001392288863186184,225.2470451238392,0.0020885869524794156,0.03731340085408374,19245.000084285166,420.8877700844992,0.0013922898832975372,0.002909870280712486,0.00435174212088588,0.002233224254473479,0.11782187997512113,-4.325870927999649,-0.09375,1.8343260010510434,0.0249187073721137,1.8738166392100375,1.7922594538391448,0.08155718537089274,-1.36955169183408,0.20411753921719922,0.0006209419770970336
S224,75.40059759548501,65.93406593406593,89.74358974358974,6.173841927179714,0.07936956036272522,0.0,0.04336348223211811,34.731222397809994,0.13793103448275862,0.6551724137931034,119.58075191507024,738.1176134397626,1189.05308112934,2046.751446484173,0.620760860178515,0.0390625,0.1494140625,0.1611328125,38.30058310453911,61.6994168954609,0.00658235609186013,0.0417341255360942,0.08621505239934478,-0.10821993372054381,0.19443498611988858,0.7113413501953572,-0.6421616949266684,0.0017417372342624702,0.0017417372342624702,5.132484350749515,0.0017576238590168698,0.04225002539623518,13743.000037239586,443.78192582066686,0.001785064645982518,0.001219613615597036,0.00031426492089221955,0.00030720514234305863,174.12792418026737,39.11240975552845,0.0,2.258056898666371,0.08330323820139535,2.324278986517652,2.03317619189866,0.2911027946189919,0.5464642873079795,-1.3811188774831193,0.006939429494838413
