,feat_nn20,feat_nn50,feat_rmssd,feat_nnhr,feat_sdsd,feat_pnn50,feat_pnn20,peak vlf,peak lf,peak hf,norm power lf,norm power hf,power ratio,total power
S201,6.0,4.0,0.061388861350523724,76.48888370282856,45.35596173940235,0.36363636363636365,0.5454545454545454,0.0390625,0.1494140625,0.1513671875,45.820611500062405,54.179388499937595,0.84572035175545,864.058833559662
S211,9.0,3.0,0.05401073754616817,76.66917533887266,42.10870286701823,0.2727272727272727,0.8181818181818182,0.0390625,0.1494140625,0.1953125,32.88198585933186,67.11801414066814,0.4899129731463257,399.28093920852086
S221,7.0,4.0,0.061451383920874486,73.1249458129941,50.480345740916015,0.36363636363636365,0.6363636363636364,0.0390625,0.1494140625,0.2236328125,18.470311013742045,81.52968898625797,0.22654705596700195,560.587121683111
S301,5.0,4.0,0.0658744884820676,50.018800388959654,79.12682491904124,0.5714285714285714,0.7142857142857143,0.0390625,0.1494140625,0.369140625,7.125469781310324,92.87453021868967,0.07672146243466461,736.7582026528073
S311,4.0,3.0,0.07976275263100535,48.60769597354902,96.02089011183172,0.42857142857142855,0.5714285714285714,0.0009765625,0.1494140625,0.3994140625,5.949380329548434,94.05061967045155,0.06325721563977729,540.9803364762491
S321,6.0,4.0,0.09779765649902149,55.95922354624844,103.20268238177516,0.5714285714285714,0.8571428571428571,0.0390625,0.1494140625,0.3056640625,19.724537527050288,80.27546247294971,0.24571066823435408,2884.85664803052
S401,5.0,4.0,0.0747612514442566,55.365825682413636,76.65039756395284,0.5714285714285714,0.7142857142857143,0.0390625,0.1494140625,0.1650390625,36.29912059183471,63.70087940816528,0.5698370403844352,575.3018049594207
S411,6.0,5.0,0.08703475614554937,61.3083306154639,83.57581642937558,0.5555555555555556,0.6666666666666666,0.0390625,0.1494140625,0.18359375,25.773909651901565,74.22609034809844,0.34723517742925086,1548.9421112864825
S421,7.0,1.0,0.04250394673791529,70.46342153293176,28.770032840084802,0.1,0.7,0.0390625,0.1494140625,0.1513671875,28.95094206562678,71.04905793437322,0.4074781975627074,243.85629257723141
S501,2.0,1.0,0.031969595734297626,62.7301058797266,26.918669058048316,0.125,0.25,0.0390625,0.1494140625,0.1953125,26.80345858357133,73.19654141642869,0.3661847686365602,654.7595357954892
S511,6.0,0.0,0.029835552343515422,61.33438360098556,27.8629357810216,0.0,0.75,0.0390625,0.1494140625,0.1748046875,27.67376717210572,72.32623282789427,0.3826242027281793,166.45809629483506
S521,2.0,1.0,0.025277800851724378,57.947561458910485,26.084155605992542,0.125,0.25,0.0390625,0.068359375,0.3994140625,41.5701270192476,58.42987298075241,0.7114533182870578,11.156983236887852
S601,5.0,1.0,0.03853015588208511,67.86648719664034,33.577338216769306,0.1,0.5,0.0390625,0.1494140625,0.15625,41.52096286393332,58.47903713606668,0.7100144752268066,702.6222054367753
S611,4.0,1.0,0.03153691736905367,63.35331389925874,29.764702249476986,0.1111111111111111,0.4444444444444444,0.0390625,0.1337890625,0.3994140625,35.082557406302456,64.91744259369753,0.5404180448985898,84.76486527327705
S621,4.0,1.0,0.03344596969503622,65.58522821270361,30.601433039673516,0.1111111111111111,0.4444444444444444,0.0390625,0.099609375,0.150390625,49.80956653993027,50.19043346006972,0.9924115634418169,126.43436578951714
S701,7.0,3.0,0.0721330925633158,76.92823882633864,55.901699437494486,0.2727272727272727,0.6363636363636364,0.0390625,0.1494140625,0.3076171875,16.20017846913298,83.799821530867,0.19331996385178182,921.538127713123
S711,6.0,2.0,0.050926127302201994,76.52317735392779,38.20567326180408,0.18181818181818182,0.5454545454545454,0.0390625,0.1279296875,0.150390625,51.14773589772678,48.85226410227321,1.0469880329527401,368.74986557951826
S721,3.0,0.0,0.02662093139723112,84.48855353500021,18.4708017637,0.0,0.25,0.0390625,0.1494140625,0.1787109375,31.962481096546902,68.03751890345309,0.4697772877623954,356.16156037868956
S801,6.0,4.0,0.06198933534868763,66.33970235806298,56.20302971599257,0.4,0.6,0.0390625,0.115234375,0.3994140625,30.657831519945116,69.3421684800549,0.4421239224551123,251.2084909516136
S811,7.0,4.0,0.07049199641996233,70.88736832421152,58.82489142228864,0.4,0.7,0.0390625,0.1240234375,0.150390625,52.95988376487855,47.04011623512145,1.1258450872053167,971.1893302585237
S821,6.0,2.0,0.05479101020777545,66.17030647832158,49.506000053733054,0.2,0.6,0.0390625,0.1494140625,0.3447265625,3.370875363063251,96.62912463693675,0.03488467246007447,418.47489769837483
S901,7.0,5.0,0.11433606862843766,69.75961135164263,99.37674255806152,0.5,0.7,0.0390625,0.1494140625,0.16796875,39.67667797204254,60.32332202795746,0.6577336366464362,3202.7741521329863
S911,6.0,2.0,0.05447252871132521,68.48205581894725,30.312993105604022,0.2222222222222222,0.6666666666666666,0.0390625,0.1494140625,0.162109375,37.848152858048806,62.151847141951194,0.6089626390605227,1141.52604624089
