,S20,S21,S22
0,-0.0419769287109375,0.0092010498046875,-0.2111663818359375
1,-0.03936767578125,0.0112152099609375,-0.2097015380859375
2,-0.0316314697265625,0.0133209228515625,-0.2080078125
3,-0.017669677734375,0.0161590576171875,-0.20562744140625
4,-0.0100250244140625,0.0167999267578125,-0.207550048828125
5,-0.01226806640625,0.0174407958984375,-0.2073211669921875
6,-0.0110321044921875,0.0150604248046875,-0.2073211669921875
7,0.0060882568359375,0.0121307373046875,-0.20819091796875
8,0.0380859375,0.0095672607421875,-0.2091064453125
9,0.0816650390625,0.0089263916015625,-0.20928955078125
10,0.1230010986328125,0.00897216796875,-0.2079620361328125
11,0.1671295166015625,0.0089263916015625,-0.2054901123046875
12,0.2148284912109375,0.0081939697265625,-0.2039337158203125
13,0.2559356689453125,0.0090179443359375,-0.2040252685546875
14,0.2781829833984375,0.0092926025390625,-0.2024688720703125
15,0.2769012451171875,0.0108489990234375,-0.2004547119140625
16,0.271636962890625,0.0121307373046875,-0.1994476318359375
17,0.2785491943359375,0.0120391845703125,-0.2000885009765625
18,0.2862396240234375,0.0119476318359375,-0.19793701171875
19,0.29571533203125,0.0135040283203125,-0.1951446533203125
20,0.31732177734375,0.0141448974609375,-0.1940460205078125
21,0.3494110107421875,0.0136871337890625,-0.1926727294921875
22,0.3844757080078125,0.0141448974609375,-0.1926727294921875
23,0.435150146484375,0.0147857666015625,-0.1938629150390625
24,0.5255584716796875,0.0158843994140625,-0.1938629150390625
25,0.6181182861328125,0.0167083740234375,-0.193359375
26,0.6191253662109375,0.0159759521484375,-0.1921234130859375
27,0.5197906494140625,0.0140533447265625,-0.1926727294921875
28,0.4048004150390625,0.0116729736328125,-0.1929473876953125
29,0.302398681640625,0.01153564453125,-0.1935882568359375
30,0.2122650146484375,0.0112152099609375,-0.1912994384765625
31,0.1503753662109375,0.0113983154296875,-0.187591552734375
32,0.14556884765625,0.0109405517578125,-0.1852569580078125
33,0.2027435302734375,0.0104827880859375,-0.1832427978515625
34,0.25433349609375,0.0092926025390625,-0.18072509765625
35,0.2786407470703125,0.01153564453125,-0.180267333984375
36,0.271728515625,0.010894775390625,-0.1811370849609375
37,0.2477874755859375,0.0113525390625,-0.1808624267578125
38,0.2164764404296875,0.0116729736328125,-0.1793975830078125
39,0.19134521484375,0.0113983154296875,-0.179351806640625
40,0.172027587890625,0.011810302734375,-0.1803131103515625
41,0.1633758544921875,0.010894775390625,-0.181182861328125
42,0.1676788330078125,0.0115814208984375,-0.1815948486328125
43,0.1662139892578125,0.0146026611328125,-0.1815948486328125
44,0.1523895263671875,0.015609741210937498,-0.1814117431640625
45,0.121124267578125,0.0160675048828125,-0.1815032958984375
46,0.0772705078125,0.015106201171875,-0.1823272705078125
47,0.027099609375,0.01446533203125,-0.1838836669921875
48,-0.0215606689453125,0.0130462646484375,-0.1836090087890625
49,-0.056854248046875,0.0109405517578125,-0.1847076416015625
50,-0.08203125,0.0081939697265625,-0.186126708984375
51,-0.0980987548828125,0.0061798095703125,-0.188507080078125
52,-0.1055145263671875,0.005126953125,-0.1890106201171875
53,-0.1062469482421875,0.0039825439453125,-0.18878173828125
54,-0.1090850830078125,0.003021240234375,-0.187408447265625
55,-0.113800048828125,0.0018768310546875,-0.1873626708984375
56,-0.1213531494140625,0.0022430419921875,-0.1869049072265625
57,-0.1318817138671875,0.0028839111328125,-0.1873626708984375
